Order1,Order2,Count,Norm,Norm_with_weight,H1,S1,Lt1,H2,S2,Lt2
11,8,10,15.443346662178387,6.265654719568784,309.99999999999994,6.122448979591837,36.444,50.52631578947368,13.103448275862073,29.728
30,12,10,47.218749987837775,3.729993017603319e-18,42.127659574468076,59.493670886075954,85.744,31.199999999999996,12.562814070351758,38.847
11,1,10,30.28086817476799,20.54784384417847,309.99999999999994,6.122448979591837,36.444,335.60439560439556,35.68627450980392,40.847
15,24,10,14.454920774780541,0.00021732484184924856,34.05405405405406,16.444444444444436,44.191,332.7272727272727,7.006369426751603,67.755
3,25,10,43.33895803577005,3.1749966059583703,346.8965517241379,49.71428571428571,55.813,47.368421052631575,21.839080459770102,67.245
5,16,10,81.12131741715667,11.993003794128239,359.0,85.71428571428572,59.185,319.99999999999994,6.024096385542164,49.408
11,15,10,16.942407232423193,5.100584778747258,309.99999999999994,6.122448979591837,36.444,34.05405405405406,16.444444444444436,44.191
7,25,10,57.81653927732661,26.40347031202318,348.38709677419354,65.95744680851064,73.505,47.368421052631575,21.839080459770102,67.245
3,11,10,44.96851640353049,0.024798897243249143,346.8965517241379,49.71428571428571,55.813,309.99999999999994,6.122448979591837,36.444
6,24,10,79.27688565441538,78.12560020555217,357.4736842105263,85.58558558558559,66.9,332.7272727272727,7.006369426751603,67.755
3,27,10,42.552583975037216,0.011593476217401302,346.8965517241379,49.71428571428571,55.813,45.51724137931034,22.834645669291344,76.071
11,21,11,13.999280807520575,0.004618812269372034,309.99999999999994,6.122448979591837,36.444,14.545454545454547,15.492957746478872,56.465
27,11,11,24.203066029666225,5.550973288502056e-13,45.51724137931034,22.834645669291344,76.071,309.99999999999994,6.122448979591837,36.444
20,26,11,7.652001325089436,0.05947638042067862,266.4,13.812154696132591,59.048,300.0,11.864406779660994,74.632
26,26,11,0.0,0.0,300.0,11.864406779660994,74.632,300.0,11.864406779660994,74.632
26,21,11,16.81761729612648,0.022859185549479816,300.0,11.864406779660994,74.632,14.545454545454547,15.492957746478872,56.465
30,24,11,57.404457888265284,0.08880267720770695,42.127659574468076,59.493670886075954,85.744,332.7272727272727,7.006369426751603,67.755
20,4,11,76.12998355771231,40.20510927773208,266.4,13.812154696132591,59.048,359.5238095238095,74.11764705882352,53.398
17,20,11,26.345621836544314,7.522025182320413,42.16216216216217,14.624505928853749,51.131,266.4,13.812154696132591,59.048
22,24,11,16.929430621021478,1.4816242693573871,35.71428571428572,18.918918918918923,56.719,332.7272727272727,7.006369426751603,67.755
17,5,11,75.71073393727788,20.690893780870837,42.16216216216217,14.624505928853749,51.131,359.0,85.71428571428572,59.185
6,20,11,86.94808678592,25.334655661668545,357.4736842105263,85.58558558558559,66.9,266.4,13.812154696132591,59.048
17,3,11,43.0915676539007,27.799494761599085,42.16216216216217,14.624505928853749,51.131,346.8965517241379,49.71428571428571,55.813
6,11,11,81.57213030686754,7.156843043079039e-07,357.4736842105263,85.58558558558559,66.9,309.99999999999994,6.122448979591837,36.444
