R1,G1,B1,R2,G2,B2,Count
21,156,132,4,107,108,52
31,239,222,5,125,127,52
20,140,132,4,107,108,52
22,160,127,16,136,110,53
24,179,149,22,160,127,53
12,100,87,9,82,84,53
22,160,127,26,199,177,53
29,225,192,4,107,108,53
4,107,108,24,179,149,53
24,179,149,15,120,101,54
15,120,101,24,179,149,54
10,90,74,26,199,177,54
18,140,123,20,140,132,54
7,177,189,6,152,156,54
5,125,127,5,125,127,54
19,148,123,24,179,149,55
20,140,132,13,109,104,55
21,156,132,14,115,94,55
19,148,123,8,79,63,55
15,120,101,30,222,222,55
30,222,222,15,120,101,55
9,82,84,1,82,119,55
9,82,84,4,107,108,55
6,152,156,9,82,84,55
3,124,143,30,222,222,55
32,255,255,23,152,177,56
21,156,132,12,100,87,56
23,152,177,32,255,255,56
16,136,110,13,109,104,56
30,222,222,22,160,127,56
14,115,94,19,148,123,57
8,79,63,15,120,101,57
15,120,101,8,79,63,57
14,115,94,28,222,206,57
6,152,156,3,124,143,57
6,152,156,22,160,127,57
26,199,177,22,160,127,58
13,109,104,16,136,110,58
26,199,177,21,156,132,58
13,109,104,6,152,156,58
2,106,132,2,106,132,58
9,82,84,22,160,127,59
16,136,110,15,120,101,59
22,160,127,8,79,63,59
10,90,74,29,225,192,59
13,109,104,30,222,222,59
8,79,63,4,107,108,59
5,125,127,6,152,156,59
3,124,143,6,152,156,59
21,156,132,30,222,222,60
22,160,127,12,100,87,60
27,189,203,31,239,222,60
28,222,206,15,120,101,60
30,222,222,13,109,104,60
8,79,63,19,148,123,60
14,115,94,6,152,156,60
3,124,143,31,239,222,60
4,107,108,13,109,104,60
13,109,104,12,100,87,61
19,148,123,28,222,206,61
28,222,206,28,222,206,61
12,100,87,21,156,132,61
20,140,132,19,148,123,61
4,107,108,15,120,101,61
2,106,132,6,152,156,61
6,152,156,8,79,63,61
21,156,132,24,179,149,62
19,148,123,20,140,132,62
22,160,127,30,222,222,62
26,199,177,13,109,104,62
15,120,101,16,136,110,62
8,79,63,28,222,206,62
9,82,84,14,115,94,62
19,148,123,30,222,222,62
32,255,255,5,125,127,62
20,140,132,15,120,101,63
12,100,87,13,109,104,63
22,160,127,24,179,149,64
12,100,87,15,120,101,64
8,79,63,8,79,63,64
31,239,222,27,189,203,64
5,125,127,32,255,255,64
20,140,132,21,156,132,65
24,179,149,21,156,132,65
28,222,206,19,148,123,65
8,79,63,21,156,132,65
9,82,84,8,79,63,65
18,140,123,30,222,222,65
14,115,94,9,82,84,65
14,115,94,4,107,108,65
6,152,156,14,115,94,65
13,109,104,28,222,206,66
9,82,84,6,152,156,66
6,152,156,18,140,123,66
2,106,132,31,239,222,66
12,100,87,22,160,127,67
16,136,110,21,156,132,67
22,160,127,6,152,156,67
13,109,104,4,107,108,67
16,136,110,22,160,127,68
18,140,123,28,222,206,68
19,148,123,4,107,108,68
19,148,123,6,152,156,68
22,160,127,4,107,108,69
18,140,123,6,152,156,69
15,120,101,9,82,84,70
19,148,123,9,82,84,70
14,115,94,14,115,94,70
30,222,222,30,222,222,70
29,225,192,10,90,74,71
15,120,101,14,115,94,71
18,140,123,9,82,84,71
20,140,132,22,160,127,71
8,79,63,9,82,84,71
4,107,108,8,79,63,71
21,156,132,16,136,110,72
22,160,127,20,140,132,72
14,115,94,22,160,127,72
28,222,206,9,82,84,72
19,148,123,14,115,94,72
8,79,63,18,140,123,72
10,90,74,24,179,149,73
28,222,206,18,140,123,73
30,222,222,18,140,123,73
22,160,127,14,115,94,74
13,109,104,8,79,63,74
9,82,84,9,82,84,74
14,115,94,15,120,101,74
20,140,132,18,140,123,75
31,239,222,29,225,192,75
4,107,108,19,148,123,75
19,148,123,13,109,104,76
14,115,94,18,140,123,77
28,222,206,13,109,104,77
18,140,123,14,115,94,77
1,82,119,30,222,222,77
4,107,108,22,160,127,77
1,82,119,3,124,143,77
21,156,132,20,140,132,78
9,82,84,19,148,123,79
18,140,123,8,79,63,79
19,148,123,15,120,101,79
10,90,74,16,136,110,79
28,222,206,22,160,127,79
13,109,104,14,115,94,79
32,255,255,1,82,119,79
4,107,108,18,140,123,79
22,160,127,28,222,206,80
9,82,84,15,120,101,80
19,148,123,19,148,123,81
6,152,156,2,106,132,81
32,255,255,25,171,176,82
24,179,149,10,90,74,82
30,222,222,6,152,156,82
10,90,74,1,82,119,82
31,239,222,3,124,143,82
6,152,156,30,222,222,82
21,156,132,8,79,63,83
8,79,63,22,160,127,83
16,136,110,10,90,74,83
8,79,63,13,109,104,83
31,239,222,2,106,132,83
1,82,119,10,90,74,83
2,106,132,1,82,119,83
1,82,119,32,255,255,84
4,107,108,30,222,222,84
13,109,104,9,82,84,85
32,255,255,17,123,133,86
15,120,101,28,222,206,86
18,140,123,22,160,127,86
26,199,177,10,90,74,87
21,156,132,28,222,206,87
3,124,143,1,82,119,87
25,171,176,32,255,255,88
28,222,206,21,156,132,88
1,82,119,2,106,132,89
29,225,192,31,239,222,90
30,222,222,1,82,119,90
10,90,74,12,100,87,91
32,255,255,11,92,102,92
22,160,127,15,120,101,92
18,140,123,4,107,108,94
32,255,255,27,189,203,95
14,115,94,21,156,132,95
19,148,123,18,140,123,95
4,107,108,14,115,94,95
21,156,132,9,82,84,96
22,160,127,9,82,84,96
15,120,101,19,148,123,96
5,125,127,4,107,108,96
9,82,84,21,156,132,97
20,140,132,10,90,74,97
10,90,74,20,140,132,97
13,109,104,18,140,123,97
18,140,123,13,109,104,97
30,222,222,4,107,108,97
17,123,133,32,255,255,98
31,239,222,26,199,177,98
9,82,84,18,140,123,98
15,120,101,18,140,123,98
31,239,222,24,179,149,99
18,140,123,15,120,101,99
19,148,123,21,156,132,100
30,222,222,10,90,74,100
6,152,156,10,90,74,100
14,115,94,13,109,104,101
26,199,177,31,239,222,101
22,160,127,19,148,123,103
10,90,74,6,152,156,103
12,100,87,10,90,74,105
19,148,123,22,160,127,105
18,140,123,19,148,123,105
18,140,123,18,140,123,106
22,160,127,18,140,123,107
10,90,74,28,222,206,109
19,148,123,10,90,74,109
13,109,104,19,148,123,109
1,82,119,31,239,222,109
18,140,123,21,156,132,110
10,90,74,4,107,108,110
11,92,102,32,255,255,111
12,100,87,31,239,222,111
28,222,206,10,90,74,111
10,90,74,30,222,222,111
4,107,108,5,125,127,111
9,82,84,13,109,104,112
20,140,132,31,239,222,112
16,136,110,31,239,222,114
21,156,132,13,109,104,115
21,156,132,19,148,123,116
10,90,74,14,115,94,117
13,109,104,22,160,127,118
6,152,156,1,82,119,118
21,156,132,15,120,101,119
15,120,101,22,160,127,119
14,115,94,10,90,74,119
21,156,132,18,140,123,120
15,120,101,13,109,104,120
13,109,104,21,156,132,121
31,239,222,12,100,87,121
32,255,255,29,225,192,122
31,239,222,1,82,119,122
13,109,104,15,120,101,124
13,109,104,13,109,104,124
31,239,222,16,136,110,125
15,120,101,15,120,101,125
27,189,203,32,255,255,127
1,82,119,1,82,119,127
31,239,222,14,115,94,129
4,107,108,10,90,74,130
4,107,108,6,152,156,130
1,82,119,6,152,156,131
22,160,127,13,109,104,134
6,152,156,32,255,255,134
24,179,149,31,239,222,135
32,255,255,6,152,156,136
31,239,222,8,79,63,136
32,255,255,26,199,177,137
15,120,101,21,156,132,137
31,239,222,30,222,222,137
6,152,156,4,107,108,137
9,82,84,10,90,74,140
8,79,63,31,239,222,140
29,225,192,32,255,255,145
10,90,74,19,148,123,146
21,156,132,22,160,127,147
26,199,177,32,255,255,147
8,79,63,10,90,74,150
18,140,123,10,90,74,152
31,239,222,20,140,132,154
6,152,156,6,152,156,154
30,222,222,31,239,222,156
15,120,101,10,90,74,156
10,90,74,8,79,63,156
10,90,74,9,82,84,157
32,255,255,20,140,132,158
32,255,255,24,179,149,161
22,160,127,21,156,132,161
6,152,156,31,239,222,161
22,160,127,22,160,127,162
31,239,222,28,222,206,163
4,107,108,31,239,222,163
30,222,222,32,255,255,164
32,255,255,16,136,110,166
10,90,74,15,120,101,167
32,255,255,30,222,222,168
20,140,132,32,255,255,168
31,239,222,6,152,156,170
28,222,206,31,239,222,171
4,107,108,32,255,255,171
31,239,222,4,107,108,172
21,156,132,21,156,132,174
10,90,74,18,140,123,174
32,255,255,4,107,108,174
9,82,84,31,239,222,175
32,255,255,8,79,63,176
22,160,127,10,90,74,176
14,115,94,31,239,222,177
32,255,255,14,115,94,178
10,90,74,21,156,132,180
32,255,255,12,100,87,181
13,109,104,10,90,74,182
31,239,222,9,82,84,183
10,90,74,22,160,127,186
10,90,74,13,109,104,187
19,148,123,31,239,222,189
31,239,222,19,148,123,193
14,115,94,32,255,255,195
16,136,110,32,255,255,196
21,156,132,10,90,74,205
8,79,63,32,255,255,207
18,140,123,31,239,222,209
31,239,222,15,120,101,221
31,239,222,18,140,123,222
32,255,255,18,140,123,227
24,179,149,32,255,255,230
15,120,101,31,239,222,230
32,255,255,28,222,206,231
32,255,255,9,82,84,238
