R1,G1,B1,R2,G2,B2,Count
129,120,101,131,115,94,71
156,140,123,87,82,84,71
165,140,132,173,160,127,71
82,79,63,87,82,84,71
233,107,108,82,79,63,71
156,156,132,147,136,110,72
173,160,127,165,140,132,72
131,115,94,173,160,127,72
222,222,206,87,82,84,72
165,148,123,131,115,94,72
82,79,63,156,140,123,72
99,90,74,187,179,149,73
222,222,206,156,140,123,73
239,222,222,156,140,123,73
173,160,127,131,115,94,74
120,109,104,82,79,63,74
87,82,84,87,82,84,74
131,115,94,129,120,101,74
165,140,132,156,140,123,75
239,239,222,239,225,192,75
233,107,108,165,148,123,75
165,148,123,120,109,104,76
131,115,94,156,140,123,77
222,222,206,120,109,104,77
156,140,123,131,115,94,77
173,82,119,239,222,222,77
233,107,108,173,160,127,77
173,82,119,211,124,143,77
156,156,132,165,140,132,78
87,82,84,165,148,123,79
156,140,123,82,79,63,79
165,148,123,129,120,101,79
99,90,74,147,136,110,79
222,222,206,173,160,127,79
120,109,104,131,115,94,79
255,255,255,173,82,119,79
233,107,108,156,140,123,79
173,160,127,222,222,206,80
87,82,84,129,120,101,80
165,148,123,165,148,123,81
247,152,156,194,106,132,81
255,255,255,182,171,176,82
187,179,149,99,90,74,82
239,222,222,247,152,156,82
99,90,74,173,82,119,82
239,239,222,211,124,143,82
247,152,156,239,222,222,82
156,156,132,82,79,63,83
82,79,63,173,160,127,83
147,136,110,99,90,74,83
82,79,63,120,109,104,83
239,239,222,194,106,132,83
173,82,119,99,90,74,83
194,106,132,173,82,119,83
173,82,119,255,255,255,84
233,107,108,239,222,222,84
120,109,104,87,82,84,85
255,255,255,138,123,133,86
129,120,101,222,222,206,86
156,140,123,173,160,127,86
206,199,177,99,90,74,87
156,156,132,222,222,206,87
211,124,143,173,82,119,87
182,171,176,255,255,255,88
222,222,206,156,156,132,88
173,82,119,194,106,132,89
239,225,192,239,239,222,90
239,222,222,173,82,119,90
99,90,74,112,100,87,91
255,255,255,104,92,102,92
173,160,127,129,120,101,92
156,140,123,233,107,108,94
255,255,255,203,189,203,95
131,115,94,156,156,132,95
165,148,123,156,140,123,95
233,107,108,131,115,94,95
156,156,132,87,82,84,96
173,160,127,87,82,84,96
129,120,101,165,148,123,96
245,125,127,233,107,108,96
87,82,84,156,156,132,97
