Order1,Order2,Count,Norm,Count_Norm
22.0,28.0,126,10.971235163848407,1382.0
22.0,29.0,109,14.220129689865814,1549.0
22.0,30.0,83,11.898936991136377,987.0
22.0,31.0,382,11.282814262462118,4310.0
22.0,32.0,538,10.154145859243382,5462.0
23.0,24.0,41,13.247569840894258,543.0
23.0,25.0,117,13.482400386382036,1577.0
23.0,26.0,55,13.329278332399497,733.0
23.0,27.0,111,10.86646932170423,1206.0
23.0,28.0,159,11.69915239339394,1860.0
23.0,29.0,118,15.58622230215234,1839.0
23.0,30.0,83,14.976611924663565,1243.0
23.0,31.0,501,11.914573490755288,5969.0
23.0,32.0,969,10.381723096346704,10059.0
24.0,25.0,20,11.196959409411132,223.0
24.0,26.0,8,16.222315387038467,129.0
24.0,27.0,19,10.316923477348912,196.0
24.0,28.0,23,11.468971837505503,263.0
24.0,29.0,20,15.382204016720372,307.0
24.0,30.0,14,9.39614607134701,131.0
24.0,31.0,87,10.022244178899927,871.0
24.0,32.0,170,9.928530435333075,1687.0
25.0,26.0,20,13.209263888402887,264.0
25.0,27.0,36,10.606686155465642,381.0
25.0,28.0,78,12.039789868748375,939.0
25.0,29.0,50,16.27001941510258,813.0
25.0,30.0,47,17.944847939716183,843.0
25.0,31.0,234,10.982531541483315,2569.0
25.0,32.0,391,9.641660114512344,3769.0
26.0,27.0,30,12.187695520626093,365.0
26.0,28.0,71,13.97545636790405,992.0
26.0,29.0,40,13.607074284966515,544.0
26.0,30.0,18,18.661425815498227,335.0
26.0,31.0,124,14.826960456082334,1838.0
26.0,32.0,222,11.819620178304632,2623.0
27.0,28.0,87,9.414175216915432,819.0
27.0,29.0,55,15.562777938506589,855.0
27.0,30.0,37,10.709367900693339,396.0
27.0,31.0,199,11.47782679854707,2284.0
27.0,32.0,284,7.859324020389322,2232.0
28.0,29.0,78,15.311997556844286,1194.0
28.0,30.0,49,9.493821079667505,465.0
28.0,31.0,334,10.55261379540692,3524.0
28.0,32.0,474,7.2779791889004635,3449.0
29.0,30.0,63,19.37693672643557,1220.0
29.0,31.0,293,14.11937634782985,4136.0
29.0,32.0,332,14.003015967164837,4649.0
30.0,31.0,165,12.970518273340044,2140.0
30.0,32.0,267,12.277026377192131,3277.0
31.0,32.0,1366,8.63149620789413,11790.0
